user_id,match_ids
86,471;1124;691;1122;541;32
1020,76;253;353;1107;349;37
371,148;232;976;874;977;197
902,229;662;488;1099;7;480
811,231;822;735;774;1111;802
157,29;1103;1003;251;389;1101
1039,14;508;177;1002;553;631
225,124;689;1103;387;545;910
439,722;947;1085;865;436;521
363,794;226;199;336;105;684
791,332;815;850;964;802;1068
983,455;43;126;1056;979;262
590,1143;1146;655;488;1151;658
871,1114;503;836;973;283;350
156,565;189;1037;516;165;563
1086,572;374;515;112;955;105
299,148;325;232;1083;467;145
385,53;341;621;398;912;521
986,781;694;1025;1080;166;1095
797,1073;576;961;1002;570;1010
483,116;576;785;904;264;135
691,1124;370;86;1120;1122;1116
786,1143;1146;383;984;128;1077
664,542;391;689;47;301;294
937,299;145;422;74;874;364
485,714;903;333;1032;531;675
1131,659;1113;1077;960;196;98
893,795;1015;125;383;1108;779
697,746;266;798;1134;1079;957
130,565;427;193;111;134;1010
383,727;273;156;920;23;579
213,212;1087;947;920;348;215
272,923;691;779;1116;682;594
497,998;322;132;276;620;89
356,297;142;355;509;971;350
694,630;380;986;177;111;505
1007,1024;482;569;920;543;600
735,231;811;827;830;860;373
1120,471;1124;86;691;1122;1116
818,898;1069;472;1065;807;618
1126,711;371;964;870;31;972
984,1143;30;590;128;660;801
722,886;472;439;1101;373;631
503,1114;834;88;871;836;509
1103,124;157;225;1080;757;1101
193,343;721;130;463;539;872
202,375;933;822;818;827;830
947,339;439;213;413;348;111
1076,878;788;361;997;925;610
619,923;995;772;125;249;682
827,1065;821;735;202;1064;373
457,1161;14;963;631;294;160
1085,569;439;619;683;93;11
463,228;903;193;524;872;675
637,635;808;312;830;390;64
927,930;231;190;419;948;420
184,220;361;93;63;742;600
190,575;927;413;553;293;536
920,591;933;383;549;935;214
740,727;617;383;163;1077;682
361,878;1076;184;610;996;61
145,152;978;299;937;1064;874
836,297;503;72;1153;350;489
751,1073;662;387;660;7;578
718,843;808;92;775;1032;338
904,116;785;3;483;264;166
917,746;254;1007;8;25;563
683,1017;923;172;179;496;543
595,940;1067;490;326;221;909
355,142;356;72;704;353;350
1025,380;189;850;986;367;348
112,720;1087;374;1086;191;955
264,116;508;1001;904;1089;686
194,519;1044;147;812;1138;715
775,795;1088;92;718;806;858
539,53;343;1140;1098;193;255
41,591;375;933;389;757;373
128,591;590;786;984;658;665
549,562;69;694;367;870;912
72,702;836;355;704;973;465
621,816;855;385;268;1010;338
942,172;1024;139;273;911;996
226,794;363;199;516;165;684
423,952;84;821;413;1064;642
1003,832;1037;157;130;389;935
806,795;1088;125;92;718;775
367,714;1127;822;1025;314;715
1056,598;482;983;158;1096;979
704,702;235;355;72;1154;465
964,479;635;598;791;1126;819
251,981;179;279;157;594;765
249,601;291;63;531;243;64
1071,834;585;646;667;669;206
961,1128;391;1067;797;387;47
1032,772;291;683;251;779;742
253,585;1020;349;466;37;314
158,295;870;553;262;293;458
387,124;225;751;961;1080;910
528,1008;212;416;213;105;642
1096,479;598;482;893;1056;484
490,989;595;326;221;1079;701
93,519;1085;184;659;1111;217
1106,565;283;216;379;925;915
44,334;1075;46;183;1049;305
312,220;637;63;830;390;600
326,595;490;221;568;909;67
875,952;905;843;270;808;642
858,816;1098;667;855;503;50
1080,124;689;1103;387;545;1095
1089,116;785;508;1001;264;865
255,591;1098;903;229;539;1095
997,510;878;995;1076;610;943
686,630;508;264;632;1099;7
484,940;479;332;601;482;781
973,626;297;871;72;89;466
199,565;794;381;363;226;105
413,412;43;947;190;1154;422
488,815;641;229;902;590;480
95,727;284;883;1113;100;98
353,1020;355;1107;349;37;465
870,231;549;158;262;632;1095
283,412;871;1106;379;489;50
63,886;184;249;312;243;64
322,416;291;1120;595;251;656
259,282;332;781;1095;404;872
163,617;898;1147;516;25;269
177,129;189;1039;694;1002;198
191,1098;1067;911;656;458;260
336,337;375;363;528;1044;245
1151,30;576;785;3;590;658
660,693;400;984;751;578;91
94,381;199;684;1023;196;701
1154,76;235;43;704;413;89
348,73;189;85;947;1025;268
658,1017;1015;772;1056;1096;1149
8,254;917;568;25;563;245
1044,1026;375;194;528;336;812
398,155;1140;279;341;385;638
1153,886;836;774;134;925;915
618,325;1069;1083;807;818;276
221,220;940;595;490;326;67
111,130;694;947;505;293;524
801,1143;898;472;1146;984;214
183,334;1075;46;1067;191;305
302,408;1013;728;841;1072;188
774,334;923;998;496;1116;1149
1002,617;963;1039;797;445;570
830,735;202;827;637;389;390
553,575;129;1039;190;198;293
422,409;937;927;74;419;737
445,720;1009;272;661;9;955
132,232;772;1083;497;276;799
276,325;1069;807;618;132;799
166,380;3;986;904;135;578
147,471;194;276;541;32;131
979,455;1127;983;177;293;948
47,1161;1128;327;664;961;301
1064,952;832;409;299;145;423
1107,76;1020;353;23;349;465
1122,471;1124;86;691;1120;1116
1108,1008;416;1054;779;911;682
135,380;30;400;483;686;166
812,635;1026;194;1044;1138;819
1138,635;194;1032;147;812;230
976,721;284;1054;740;751;100
262,630;983;158;870;310;458
659,66;515;93;94;1023;701
779,73;346;231;893;202;927
661,598;212;898;416;656;819
883,1007;960;59;100;269;98
620,337;346;497;1032;322;268
509,73;88;702;142;85;356
310,630;720;601;129;262;738
23,565;727;617;1037;1107;489
665,1073;254;128;166;568;681
632,630;686;870;1099;7;935
851,1022;1140;850;653;638;480
545,124;689;655;225;1080;301
389,832;157;827;41;1003;830
541,86;147;131;860;358;799
74,937;422;737;971;364;140
579,14;69;273;996;631;420
762,295;929;125;786;683;251
349,76;1020;253;353;1107;466
31,371;1126;976;737;364;715
1113,523;1131;1085;95;196;269
1077,727;786;1131;740;1113;682
516,156;226;165;25;681;563
216,565;871;1106;1153;379;925
379,283;216;134;206;489;915
874,148;371;299;937;145;364
1099,1033;30;29;686;632;260
792,220;816;515;291;957;681
1049,334;1075;46;44;183;305
165,1017;929;924;998;32;642
89,297;497;973;1154;620;214
198,53;129;391;664;553;536
32,471;370;322;147;541;131
531,903;229;485;249;675;245
911,337;794;139;450;341;191
653,228;341;851;638;404;480
568,1073;254;721;326;8;665
25,1133;254;721;917;163;516
505,646;694;111;524;206;675
7,630;662;902;751;686;632
977,152;978;371;976;1111;197
496,179;155;279;135;543;594
9,523;941;1009;272;445;960
912,339;591;385;549;436;404
960,523;221;883;9;59;196
59,888;520;572;57;883;960
1079,1133;798;989;697;490;67
638,416;398;851;653;404;543
669,905;667;1071;37;206;610
131,322;147;541;32;860;358
909,66;1134;797;326;661;568
1094,1133;254;989;8;681;67
207,888;520;57;1147;269;573
757,1065;821;229;273;333;41
293,575;190;158;111;553;979
419,412;930;924;422;11;420
